ISCO68,ISCO68-label-E,major,minor,unit
9719,'LONGSHOREMAN',9700,9710,9719
9720,'RIGGER-CABLE SPLICER',9700,9720,9720
9730,'CRANE-HOIST OPERATR',9700,9730,9730
9731,'DRAWBRIDGE TENDER',9700,9730,9731
9739,'POWER CRANE OPRTR',9700,9730,9739
9740,'ROAD MACHINERY OPRTR',9700,9740,9740
9790,'MATER-HANDLNG EQUIPM OPRTR',9700,9790,9790
9800,'TRANSP EQUIPM OPRTR ARW',9800,9800,9800
9810,'SHIP DECKS RATINGS',9800,9810,9810
9811,'BOATMEN',9800,9810,9811
9819,'SEAMAN',9800,9810,9819
9820,'SHIP ENGINE-ROOM HAND',9800,9820,9820
9830,'RAILW ENGN DRIVER',9800,9830,9830
9831,'LOCOMOTIVE FIREMEN',9800,9830,9831
9832,'ORETRAIN MOTERMAN IN MINE',9800,9830,9832
9839,'LOCOMOTIVE ENGINEER',9800,9830,9839
9840,"'RAILW SWITCHMN,BRAKEMN'",9800,9840,9840
9850,'MOT VEH DRIVER',9800,9850,9850
9851,'BUS-TRAM DRIVER',9800,9850,9851
9852,'TRUCK DRIVER',9800,9850,9852
9853,'SMALL TRANSPORT OPRTR',9800,9850,9853
9854,'TRUCK DRIVERS HELPER',9800,9850,9854
9855,'DRIVING TEACHER',9800,9850,9855
9859,'DRIVER',9800,9850,9859
9860,'ANIMAL DRIVER',9800,9860,9860
9861,'WAGONEER',9800,9860,9861
9869,'ANIMAL DRIVER',9800,9860,9869
9890,'TRANSP EQ OPER NEC',9800,9890,9890
9891,'RAILW CROSSNG GUARD',9800,9890,9891
9899,'PEDAL-VEHICLE DRIVER',9800,9890,9899
9900,'MANUAL WORKERS NEC',9900,9900,9900
9950,'SKLD MANUAL WRKR NEC',9900,9950,9950
9951,'INDEPENDENT ARTISAN',9900,9950,9951
9959,'SKILLED MANUAL WRKR',9900,9950,9959
9970,'SEMSK WRKR NEC',9900,9970,9970
9971,'APPRENTICE',9900,9970,9971
9979,'SEMISK FACTORY WRKR',9900,9970,9979
9990,'LABORER NEC',9900,9990,9990
9991,'UNSKILLED FACTORY WRKR',9900,9990,9991
9992,'CONTRACT LABORER',9900,9990,9992
9993,'ITINERANT WRKR',9900,9990,9993
9994,'RAILWAY TRACK WORKER',9900,9990,9994
9995,'STREET SWEEPER',9900,9990,9995
9996,'GARBAGE COLLECTOR',9900,9990,9996
9997,'ROAD CONSTRUCTION WRKR',9900,9990,9997
9999,'LABORER',9900,9990,9999
10000,'ARMED FORCES',10000,10000,10000
10001,'ARMY OFFICERS',10000,10000,10001
10002,'NON COMMISND OFFICERS',10000,10000,10002
10003,'SOLDIER',10000,10000,10003
10009,'HIGH ARMY OFFICERS',10000,10000,10009
