ISCO08,OEP08
0000,68
0100,78
0200,67
0300,62
1000,81
1100,87
1200,84
1300,79
1400,52
2000,71
2100,79
2200,73
2300,62
2400,74
2500,80
2600,65
3000,55
3100,63
3200,43
3300,58
3400,40
3500,64
4000,38
4100,36
4200,37
4300,40
4400,37
5000,23
5100,21
5200,22
5300,18
5400,50
6000,22
6100,26
6200,32
6300,21
7000,43
7100,40
7200,46
7300,40
7400,53
7500,28
8000,37
8100,34
8200,31
8300,39
9000,19
9100,11
9200,16
9300,26
9400,14
9500,18
9600,27
