ISCO88,OEP88
0000,68
0100,68
1000,78
1100,85
1200,81
1300,55
2000,73
2100,80
2200,79
2300,65
2400,71
3000,55
3100,62
3200,45
3300,42
3400,55
4000,37
4100,38
4200,34
5000,21
5100,22
5200,21
6000,21
6100,25
6200,20
7000,43
7100,42
7200,48
7300,40
7400,26
8000,38
8100,50
8200,30
8300,39
9000,21
9100,18
9200,16
9300,26
