ISCO08(4-digit),IPICS-employee(0),IPICS-employee(1-10),IPICS-selfemp(0),IPICS-selfemp(1-10),ESEC-selfemp(11+)
1000,1,1,1,1,1
1100,1,1,1,1,1
1110,1,1,1,1,1
1111,1,1,1,1,1
1112,1,1,1,1,1
1113,1,1,1,1,1
1114,1,1,1,1,1
1120,1,1,1,1,1
1200,1,1,1,1,1
1210,1,1,1,1,1
1211,1,1,1,1,1
1212,1,1,1,1,1
1213,1,1,1,1,1
1219,1,1,1,1,1
1220,1,1,1,1,1
1221,1,1,1,1,1
1222,1,1,1,1,1
1223,1,1,1,1,1
1300,1,1,1,1,1
1310,10,10,10,10,10
1311,10,10,10,10,10
1312,10,10,10,10,10
1320,1,1,1,1,1
1321,1,1,1,1,1
1322,1,1,1,1,1
1323,1,1,1,1,1
1324,1,1,1,1,1
1330,1,1,1,1,1
1340,1,1,1,1,1
1341,1,1,1,1,1
1342,1,1,1,1,1
1343,1,1,1,1,1
1344,1,1,1,1,1
1345,1,1,1,1,1
1346,1,1,1,1,1
1349,1,1,1,1,1
1400,1,1,1,1,1
1410,1,1,1,1,1
1411,1,1,1,1,1
1412,1,1,1,1,1
1420,1,1,1,1,1
1430,1,1,1,1,1
1431,1,1,1,1,1
1439,1,1,1,1,1
2000,5,5,5,5,5
2100,5,5,5,5,5
2110,5,5,5,5,5
2111,5,5,5,5,5
2112,5,5,5,5,5
2113,5,5,5,5,5
2114,5,5,5,5,5
2120,5,5,5,5,5
2130,5,5,5,5,5
2131,5,5,5,5,5
2132,5,5,5,5,5
2133,5,5,5,5,5
2140,5,5,5,5,5
2141,5,5,5,5,5
2142,5,5,5,5,5
2143,5,5,5,5,5
2144,5,5,5,5,5
2145,5,5,5,5,5
2146,5,5,5,5,5
2149,5,5,5,5,5
2150,5,5,5,5,5
2151,5,5,5,5,5
2152,5,5,5,5,5
2153,5,5,5,5,5
2160,5,5,5,5,5
2161,5,5,5,5,5
2162,5,5,5,5,5
2163,7,7,9,9,9
2164,5,5,5,5,5
2165,5,5,5,5,5
2166,7,7,9,9,9
2200,5,5,5,5,5
2210,5,5,5,5,5
2211,5,5,5,5,5
2212,5,5,5,5,5
2220,6,6,9,9,9
2221,6,6,9,9,9
2222,6,6,9,9,9
2230,6,6,9,9,9
2240,6,6,9,9,9
2250,5,5,5,5,5
2260,5,5,5,5,5
2261,5,5,5,5,5
2262,5,5,5,5,5
2263,5,5,5,5,5
2264,7,7,9,9,9
2265,6,6,9,9,9
2266,5,5,5,5,5
2267,6,6,9,9,9
2269,7,7,9,9,9
2300,5,5,5,5,5
2310,5,5,5,5,5
2320,5,5,5,5,5
2330,5,5,5,5,5
2340,6,6,9,9,9
2341,6,6,9,9,9
2342,6,6,9,9,9
2350,5,5,5,5,5
2351,5,5,5,5,5
2352,5,5,5,5,5
2353,5,5,5,5,5
2354,5,5,5,5,5
2355,5,5,5,5,5
2356,5,5,5,5,5
2359,6,6,9,9,9
2400,5,5,5,5,5
2410,5,5,5,5,5
2411,5,5,5,5,5
2412,5,5,5,5,5
2413,5,5,5,5,5
2420,6,6,9,9,9
2421,6,6,9,9,9
2422,6,6,9,9,9
2423,6,6,9,9,9
2424,6,6,9,9,9
2430,5,5,5,5,5
2431,5,5,5,5,5
2432,5,5,5,5,5
2433,5,5,5,5,5
2434,5,5,5,5,5
2500,5,5,5,5,5
2510,5,5,5,5,5
2511,5,5,5,5,5
2512,5,5,5,5,5
2513,5,5,5,5,5
2514,5,5,5,5,5
2519,5,5,5,5,5
2520,6,6,9,9,9
2521,6,6,9,9,9
2522,6,6,9,9,9
2523,6,6,9,9,9
2529,6,6,9,9,9
2600,5,5,5,5,5
2610,5,5,5,5,5
2611,5,5,5,5,5
2612,5,5,5,5,5
2619,5,5,5,5,5
2620,6,6,9,9,9
2621,6,6,9,9,9
2622,6,6,9,9,9
2630,6,6,9,9,9
2631,5,5,5,5,5
2632,5,5,5,5,5
2633,5,5,5,5,5
2634,5,5,5,5,5
2635,6,6,9,9,9
2636,6,6,9,9,9
2640,6,6,9,9,9
2641,6,6,9,9,9
2642,6,6,9,9,9
2643,6,6,9,9,9
2650,6,6,9,9,9
2651,6,6,9,9,9
2652,6,6,9,9,9
2653,6,6,9,9,9
2654,6,6,9,9,9
2655,6,6,9,9,9
2656,6,6,9,9,9
2659,8,7,8,9,9
3000,6,6,9,9,9
3100,3,3,9,9,9
3110,3,3,9,9,9
3111,3,3,9,9,9
3112,3,3,9,9,9
3113,3,3,9,9,9
3114,3,3,9,9,9
3115,3,3,9,9,9
3116,5,5,5,5,5
3117,3,3,9,9,9
3118,3,3,9,9,9
3119,3,3,9,9,9
3120,3,3,9,9,9
3121,3,3,9,9,9
3122,1,1,1,1,1
3123,1,1,1,1,1
3130,1,1,1,1,1
3131,4,3,4,9,9
3132,3,3,9,9,9
3133,4,3,4,9,9
3134,4,3,4,9,9
3135,3,3,9,9,9
3139,3,3,9,9,9
3140,6,6,9,9,9
3141,6,6,9,9,9
3142,6,6,9,9,9
3143,11,11,11,9,9
3150,3,3,9,9,9
3151,3,3,9,9,9
3152,5,5,5,5,5
3153,5,5,5,5,5
3154,3,3,9,9,9
3155,3,3,9,9,9
3200,6,6,9,9,9
3210,6,6,9,9,9
3211,7,7,9,9,9
3212,6,6,9,9,9
3213,7,7,9,9,9
3214,3,3,9,9,9
3220,6,6,9,9,9
3221,6,6,9,9,9
3222,6,6,9,9,9
3230,6,6,9,9,9
3240,7,7,9,9,9
3250,7,7,9,9,9
3251,7,7,9,9,9
3252,2,2,9,9,9
3253,7,7,9,9,9
3254,6,6,9,9,9
3255,7,7,9,9,9
3256,6,6,9,9,9
3257,3,3,9,9,9
3258,7,7,9,9,9
3259,7,7,9,9,9
3300,2,2,9,9,9
3310,6,6,9,9,9
3311,5,5,5,5,5
3312,2,2,9,9,9
3313,2,2,9,9,9
3314,2,2,9,9,9
3315,7,7,9,9,9
3320,7,7,9,9,9
3321,6,6,9,9,9
3322,7,7,9,9,9
3323,6,6,9,9,9
3324,6,6,9,9,9
3330,6,6,9,9,9
3331,2,2,9,9,9
3332,2,2,9,9,9
3333,6,6,9,9,9
3334,6,6,9,9,9
3339,6,6,9,9,9
3340,2,2,9,9,9
3341,2,2,9,9,9
3342,2,2,9,9,9
3343,2,2,9,9,9
3344,2,2,9,9,9
3350,2,2,9,9,9
3351,2,2,9,9,9
3352,2,2,9,9,9
3353,2,2,9,9,9
3354,2,2,9,9,9
3355,7,7,9,9,9
3359,2,2,9,9,9
3400,2,2,9,9,9
3410,2,2,9,9,9
3411,2,2,9,9,9
3412,7,7,9,9,9
3413,6,6,9,9,9
3420,6,6,9,9,9
3421,6,6,9,9,9
3422,6,6,9,9,9
3423,6,6,9,9,9
3430,6,6,9,9,9
3431,7,7,9,9,9
3432,7,7,9,9,9
3433,2,2,9,9,9
3434,7,7,9,9,9
3435,7,7,9,9,9
3500,3,3,9,9,9
3510,3,3,9,9,9
3511,3,3,9,9,9
3512,3,3,9,9,9
3513,3,3,9,9,9
3514,3,3,9,9,9
3520,7,7,9,9,9
3521,7,7,9,9,9
3522,3,3,9,9,9
4000,2,2,9,9,9
4100,2,2,9,9,9
4110,2,2,9,9,9
4120,2,2,9,9,9
4130,2,2,9,9,9
4131,2,2,9,9,9
4132,2,2,9,9,9
4200,2,2,9,9,9
4210,2,2,9,9,9
4211,2,2,9,9,9
4212,2,2,9,9,9
4213,7,7,9,9,9
4214,8,7,8,9,9
4220,8,7,8,9,9
4221,8,7,8,9,9
4222,2,2,9,9,9
4223,2,2,9,9,9
4224,8,7,8,9,9
4225,8,7,8,9,9
4226,8,7,8,9,9
4227,8,7,8,9,9
4229,8,7,8,9,9
4300,2,2,9,9,9
4310,2,2,9,9,9
4311,2,2,9,9,9
4312,2,2,9,9,9
4313,2,2,9,9,9
4320,2,2,9,9,9
4321,2,2,9,9,9
4322,2,2,9,9,9
4323,2,2,9,9,9
4400,2,2,9,9,9
4410,2,2,9,9,9
4411,2,2,9,9,9
4412,2,2,9,9,9
4413,2,2,9,9,9
4414,2,2,9,9,9
4415,2,2,9,9,9
4416,2,2,9,9,9
4419,2,2,9,9,9
5000,8,7,8,9,9
5100,8,7,8,9,9
5110,8,7,8,9,9
5111,8,7,8,9,9
5112,8,7,8,9,9
5113,8,7,8,9,9
5120,7,7,9,9,9
5130,8,7,8,9,9
5131,8,7,8,9,9
5132,8,7,8,9,9
5140,8,7,8,9,9
5141,8,7,8,9,9
5142,8,7,8,9,9
5150,8,7,8,9,9
5151,8,7,8,9,9
5152,8,7,8,9,9
5153,8,7,8,9,9
5160,8,7,8,9,9
5161,7,7,9,9,9
5162,8,7,8,9,9
5163,8,7,8,9,9
5164,8,7,8,9,9
5165,5,5,5,5,5
5169,8,7,8,9,9
5200,8,7,8,9,9
5210,8,7,8,9,9
5211,8,7,8,9,9
5212,8,7,8,9,9
5220,8,7,8,9,9
5221,1,1,1,1,1
5222,1,1,1,1,1
5223,8,7,8,9,9
5230,8,7,8,9,9
5240,8,7,8,9,9
5241,8,7,8,9,9
5242,8,7,8,9,9
5243,8,7,8,9,9
5244,8,7,8,9,9
5245,8,7,8,9,9
5246,8,7,8,9,9
5249,6,6,9,9,9
5300,8,7,8,9,9
5310,8,7,8,9,9
5311,8,7,8,9,9
5312,8,7,8,9,9
5320,8,7,8,9,9
5321,8,7,8,9,9
5322,8,7,8,9,9
5329,8,7,8,9,9
5400,8,7,8,9,9
5410,8,7,8,9,9
5411,7,7,9,9,9
5412,7,7,9,9,9
5413,8,7,8,9,9
5414,8,7,8,9,9
5419,8,7,8,9,9
6000,11,11,11,9,9
6100,11,11,11,9,9
6110,10,10,10,10,10
6111,10,10,10,10,10
6112,10,10,10,10,10
6113,10,10,10,10,10
6114,10,10,10,10,10
6120,10,10,10,10,10
6121,10,10,10,10,10
6122,10,10,10,10,10
6123,10,10,10,10,10
6129,8,7,8,9,9
6130,10,10,10,10,10
6200,11,11,11,9,9
6210,11,11,11,9,9
6220,11,11,11,9,9
6221,11,11,11,9,9
6222,11,11,11,9,9
6223,11,11,11,9,9
6224,11,11,11,9,9
6300,10,10,10,10,10
6310,10,10,10,10,10
6320,10,10,10,10,10
6330,10,10,10,10,10
6340,10,10,10,10,10
7000,3,3,9,9,9
7100,4,3,4,9,9
7110,3,3,9,9,9
7111,4,3,4,9,9
7112,3,3,9,9,9
7113,3,3,9,9,9
7114,3,3,9,9,9
7115,3,3,9,9,9
7119,3,3,9,9,9
7120,3,3,9,9,9
7121,3,3,9,9,9
7122,3,3,9,9,9
7123,3,3,9,9,9
7124,3,3,9,9,9
7125,3,3,9,9,9
7126,3,3,9,9,9
7127,3,3,9,9,9
7130,3,3,9,9,9
7131,3,3,9,9,9
7132,3,3,9,9,9
7133,8,7,8,9,9
7200,3,3,9,9,9
7210,3,3,9,9,9
7211,3,3,9,9,9
7212,3,3,9,9,9
7213,3,3,9,9,9
7214,3,3,9,9,9
7215,4,3,4,9,9
7220,3,3,9,9,9
7221,3,3,9,9,9
7222,3,3,9,9,9
7223,3,3,9,9,9
7224,3,3,9,9,9
7230,3,3,9,9,9
7231,3,3,9,9,9
7232,3,3,9,9,9
7233,3,3,9,9,9
7234,3,3,9,9,9
7300,3,3,9,9,9
7310,3,3,9,9,9
7311,3,3,9,9,9
7312,3,3,9,9,9
7313,3,3,9,9,9
7314,4,3,4,9,9
7315,3,3,9,9,9
7316,3,3,9,9,9
7317,4,3,4,9,9
7318,3,3,9,9,9
7319,4,3,4,9,9
7320,3,3,9,9,9
7321,3,3,9,9,9
7322,3,3,9,9,9
7323,3,3,9,9,9
7400,3,3,9,9,9
7410,3,3,9,9,9
7411,3,3,9,9,9
7412,3,3,9,9,9
7413,3,3,9,9,9
7420,3,3,9,9,9
7421,3,3,9,9,9
7422,3,3,9,9,9
7500,3,3,9,9,9
7510,3,3,9,9,9
7511,3,3,9,9,9
7512,3,3,9,9,9
7513,3,3,9,9,9
7514,3,3,9,9,9
7515,3,3,9,9,9
7516,3,3,9,9,9
7520,3,3,9,9,9
7521,4,3,4,9,9
7522,3,3,9,9,9
7523,3,3,9,9,9
7530,3,3,9,9,9
7531,3,3,9,9,9
7532,3,3,9,9,9
7533,4,3,4,9,9
7534,3,3,9,9,9
7535,3,3,9,9,9
7536,3,3,9,9,9
7540,3,3,9,9,9
7541,3,3,9,9,9
7542,3,3,9,9,9
7543,3,3,9,9,9
7544,8,7,8,9,9
7549,10,10,10,10,10
8000,4,3,4,9,9
8100,4,3,4,9,9
8110,4,3,4,9,9
8111,4,3,4,9,9
8112,4,3,4,9,9
8113,4,3,4,9,9
8114,4,3,4,9,9
8120,4,3,4,9,9
8121,4,3,4,9,9
8122,4,3,4,9,9
8130,4,3,4,9,9
8131,4,3,4,9,9
8132,4,3,4,9,9
8140,4,3,4,9,9
8141,4,3,4,9,9
8142,4,3,4,9,9
8143,4,3,4,9,9
8150,4,3,4,9,9
8151,4,3,4,9,9
8152,4,3,4,9,9
8153,4,3,4,9,9
8154,4,3,4,9,9
8155,4,3,4,9,9
8156,4,3,4,9,9
8157,4,3,4,9,9
8159,4,3,4,9,9
8160,4,3,4,9,9
8170,4,3,4,9,9
8171,4,3,4,9,9
8172,4,3,4,9,9
8180,4,3,4,9,9
8181,4,3,4,9,9
8182,4,3,4,9,9
8183,4,3,4,9,9
8189,4,3,4,9,9
8200,4,3,4,9,9
8210,4,3,4,9,9
8211,4,3,4,9,9
8212,4,3,4,9,9
8219,4,3,4,9,9
8300,8,7,8,9,9
8310,3,3,9,9,9
8311,3,3,9,9,9
8312,3,3,9,9,9
8320,8,7,8,9,9
8321,8,7,8,9,9
8322,8,7,8,9,9
8330,4,3,4,9,9
8331,3,3,9,9,9
8332,3,3,9,9,9
8340,4,3,4,9,9
8341,11,11,11,9,9
8342,4,3,4,9,9
8343,4,3,4,9,9
8344,4,3,4,9,9
8350,4,3,4,9,9
9000,4,3,4,9,9
9100,8,7,8,9,9
9110,8,7,8,9,9
9111,8,7,8,9,9
9112,8,7,8,9,9
9120,8,7,8,9,9
9121,8,7,8,9,9
9122,8,7,8,9,9
9123,8,7,8,9,9
9129,8,7,8,9,9
9200,11,11,11,9,9
9210,11,11,11,9,9
9211,11,11,11,9,9
9212,11,11,11,9,9
9213,11,11,11,9,9
9214,11,11,11,9,9
9215,11,11,11,9,9
9216,11,11,11,9,9
9300,4,3,4,9,9
9310,4,3,4,9,9
9311,4,3,4,9,9
9312,4,3,4,9,9
9313,4,3,4,9,9
9320,4,3,4,9,9
9321,4,3,4,9,9
9329,4,3,4,9,9
9330,4,3,4,9,9
9331,8,7,8,9,9
9332,4,3,4,9,9
9333,4,3,4,9,9
9334,8,7,8,9,9
9400,8,7,8,9,9
9410,8,7,8,9,9
9411,8,7,8,9,9
9412,8,7,8,9,9
9500,8,7,8,9,9
9510,8,7,8,9,9
9520,8,7,8,9,9
9600,4,3,4,9,9
9610,4,3,4,9,9
9611,4,3,4,9,9
9612,4,3,4,9,9
9613,4,3,4,9,9
9620,4,3,4,9,9
9621,8,7,8,9,9
9622,4,3,4,9,9
9623,8,7,8,9,9
9624,4,3,4,9,9
9629,4,3,4,9,9
