ISCO88,OEP88
0000,68
0100,68
0110,70
1000,78
1100,85
1110,88
1120,83
1130,87
1140,80
1200,81
1210,89
1220,75
1230,85
1300,55
1310,49
2000,73
2100,80
2110,78
2120,84
2130,80
2140,80
2200,79
2210,71
2220,87
2230,67
2300,65
2310,77
2320,67
2330,52
2340,65
2350,61
2400,71
2410,75
2420,87
2430,51
2440,58
2450,65
2460,61
2470,69
3000,55
3100,62
3110,63
3120,66
3130,53
3140,85
3150,53
3200,45
3210,49
3220,40
3230,42
3240,41
3300,42
3310,42
3320,41
3330,43
3340,47
3400,55
3410,63
3420,57
3430,52
3440,56
3450,71
3460,41
3470,49
3480,45
4000,37
4100,38
4110,34
4120,46
4130,38
4140,35
4190,35
4200,34
4210,36
4220,25
5000,21
5100,22
5110,41
5120,17
5130,18
5140,16
5150,31
5160,53
5200,21
5210,20
5220,21
5230,18
6000,21
6100,25
6110,27
6120,21
6130,22
6140,32
6150,29
6200,20
6210,20
7000,43
7100,42
7110,53
7120,42
7130,48
7140,33
7200,48
7210,42
7220,47
7230,49
7240,52
7300,40
7310,40
7320,29
7330,29
7340,44
7400,26
7410,25
7420,34
7430,21
7440,22
8000,38
8100,50
8110,61
8120,46
8130,37
8140,39
8150,52
8160,57
8170,47
8200,30
8210,36
8220,44
8230,33
8240,29
8250,37
8260,15
8270,28
8280,31
8290,28
8300,39
8310,66
8320,37
8330,39
8340,52
9000,21
9100,18
9110,20
9120,18
9130,11
9140,28
9150,26
9160,26
9200,16
9210,16
9300,26
9310,34
9320,21
9330,32
