OESCH8,OESCH8-label-E
1,'Self-employed professionals and large employers'
2,'Small business owners'
3,'Technical (semi-)professionals'
4,'Production workers'
5,'(Associate) managers'
6,'Clerks'
7,'Socio-cultural (semi-)professionals'
8,'Service workers'
